RamRiceDuran814,offthewall_alex,,
KaiselinHo,timmygano,,
yedlinny,BenBergerBaby,,
TBooker23_,lxve_lxve,,
_benjvmins_,maya_quinonez,kindness,
YOANDRl,BROOPITA_GIRL,excited,
ALDubiansOFC,recede_rosalie,,
brendaalind,GarciaLinnn,,
Paula_White,vickky1319,grace,
StephenKing,joshljorgensen,understanding,
cpulisic_10,Kyle_Debelak,blessed,
5HWorldNews,teenwolf_fanns1,excited,
mize_maria,BHoush1514,joy,
WeLuvAllyB,OT5Harmonizando,,AllyBrooke
Gladis_6,LizethGalindo_,blessed,
pokemongogaming,CamiiVial,excited,
babitatyagi0,sukhjeetd987,joy,InsaSonam
ChartsSG,LordeRainha99,,
zrok_,ELLIExROSEWATER,glad,
cpulisic_10,BranG1992,blessed,
5HWorldNews,teenwolf_fanns1,excited,
redjuhye0n,kmwwnn,joy,
mbennett_23,FunkyBennett,,
TheophilosWales,svasulanka,joy,
isaolsusa,yunglibyan,grace,
ZachyyyJ,jacobjoyce95,excited,
Prettylialia,Rubey_Red,joy,
yedlinny,Phat_Fat_Guy,,
theCandidDiva,seetainsan4,,priyankainsa4
babitatyagi0,Rubyinsan4,joy,InsaSonam
Amitinsan20,sparsh77,blessed,
insincere,psych0delrey,laughter,
cpulisic_10,Maayynor4,blessed,
babitatyagi0,sukhjeetd987,joy,ksushma140
OmerRehman,effa_fyfa,kindness,
ReaIJustinBands,tankgothejuice_,,
alexmalloyy,kyaraa_michelle,joy,
Kaaylaa_raee,gis_lpz,,
McCullenJessica,keenaroselee,blessed,
OceanDiversIDC,ExitH2O,excited,
idillionaire,mmizahh,blessed,
Latinos4Bernie,Gunns0fCydonia,glad,
macthekillerr,HeyChi_,excited,
_Almaayy,brianaa905,patience,
TheRealArkadian,crazyhardin,excited,
beltoftruth1,WellsElvis,sweetness,
M0tivateAthIete,sheppkal,blessed,
gracereevuhs,Kiley_Cakes,excited,
AaronCarpenter,glittermeehayes,,
BobOngQuotes,babecxzs,blessed,
cxstaway,livingxexisting,glad,livingxexisting
lifeaseva,ohh_torie,blessed,
AaronCarpenter,MagconDolan_Fan,,
meagannnkaayy,_kayleeeeee,glad,_kayleeeeee
__Bailey33,maldonado_sussy,,
AlasdaireYoung,OnGoldenSand,,
richmichjen,WriterArchive,,
cpulisic_10,IvanZigarevich,blessed,
MaddieDisney,tayylorrjunee,blessed,
BC_SPCA,Biskythecat,glad,
ogsaiyangeezer,bigceedxoh,patience,bigceedxoh
MLOwen_,Mere_Robinson13,joy,
NyuusatsuHana_,AlbarnDWMA,excited,
FlatlandCavalry,kes_andrews14,excited,
savioangelosdb,chineemeenie,joy,
PeterVoogd23,DcethansbitchGc,excited,
DuncanWhitehead,eHleenbdVaate,excited,
SPIDERW0MANS,blonhd,excited,SPIDERW0MANS
ksushma140,VBInsan1,,Gurmeetramrahim
my_uniform,ayurizkyco,,
OmanReagan,fallfaster,,OmanReagan
BobOngQuotes,justgraceeee,blessed,
cpulisic_10,dpmbeliever,blessed,
kateduganx,sadlilgemini,excited,
AverageGoal,Olga_Salazar_09,,
BigSean,tinigashi16,,
OmerRehman,iamrizkhan8970,kindness,
tumutuIa,tifflikeswings,glad,
tedcruz,rossb1us,blessed,
jineatskookie14,MIND_2001,excited,
enixtm,SyncDilz,excited,
ArmorOGod,caymaniangirl11,blessed,
spainzoe11,ashnicolefuller,,
cpulisic_10,JoelFajardo10,blessed,
rob_hale_vt,julielerman,,
TrevorMoran,postmacourtney,excited,
SrBachchan,5b30fd8a4b0444a,joy,
AaronCarpenter,Ratih_caturrini,,
PositiveMinds__,hippy4real,blessed,
MerylMmciscoil,KimZelinski,blessed,
aldubglobalnyc,aeron_aeAeron,blessed,
incorrectIy,meganm08,laughter,
clarissabrockk,alexis_handler,excited,
maryyy_x33,alyssajeannx3,joy,
_ThatNiggaTibaa,7_slickrick,,
JessMarieGarcia,soon2bemrsefp,blessed,
cpulisic_10,EvelynUluan,blessed,
theleaguelady,Becca7SOS,,
AaronCarpenter,talii_marin,,
redjuhye0n,gcseulgi,joy,
ltsTyga,AndrewTheCutch,,
AaronCarpenter,valentinahidalg,,
Slimthug1323,rigo_villarreal,,
lexasreyes,ecstaticalycia,blessed,
rheint3,hannaheguillen,blessed,
lyssawinn,TSpringsteed,excited,
DrAnwarFazal,NoorfaNadya,blessed,
liwayway21,YEscarda,,liwayway21
thesecret,aerovinanti,joy,
rachelsaniston,swxnparrilla,joy,
King_Fxlt,BAD__MamaJama,excited,
andrewlowe,JoeyAddiction,excited,
GrengaMa,LA_mac9,,
TheRealKirstyG,thebiebsft1D,,
NiecyNash,1newride,joy,
SrBachchan,Abhishrivastav9,joy,
bringthechicken,joysdarling,,
ANNIEPIERCE,NelsenNissah,,
yedlinny,AndreRobiou20,,
DrAnwarFazal,amiraraudah,blessed,
VenusHerald,andreadulce678,kindness,
WendyDiary_,pp_mean45,,
ArmorOGod,jonathon_hurst,blessed,
Jany_1DZM,styleswrongs,blessed,
aldubglobalnyc,geraldinebaric2,blessed,
OneKej,chrisss_CEE,,
yedlinny,Milanka_xoxo,,
lecrae,SoAmariee,kindness,
TimBurt,MunoMatt,kindness,
lecrae,SoAmariee,kindness,
AaronCarpenter,NeaSlay,,
donghyuksgirl,kibumuffin,blessed,
yedlinny,JulieAnnSilva10,,
angelaksgiles,DavidMendiolaP,kindness,
FFXVEN,Bobbyman0330,patience,
d_sadera,pepsiorange,,
lecrae,jmegan365,kindness,
macthekillerr,_Monicax_,excited,
lecrae,caleb3232,kindness,
aldubglobalnyc,itsmeaileent,blessed,
Harry_Styles,navaehsamone,glad,
hxnlxne,asianxprincess,,
yedlinny,TheFPT,,
AaronCarpenter,HoranCazarez,,
Gurmeetramrahim,Amitinsan4,joy,
bigshitxtalker,Donqua_,excited,
grantgust,adeusbilauta,excited,
grantgust,adeusbilauta,excited,
ksushma140,pawanwatts21,blessed,
beequammie,DREWDIAMOND32,joy,beequammie
WeLuvAllyB,edgarkarla,,AllyBrooke
lopezzclarissa,YoussefAlsaad9,excited,
DuncanWhitehead,bdcbrandan,excited,
Drake,edeenn6,understanding,
k_driggs,_maddiesquires,blessed,
JasmineJanel_,Lailunar,,
peycross,reidunne,excited,
Tj_strickland00,murffmadison,,
CFree_15,MyRecruitBoard,,
Carly_Triggs,BakerSigEp,blessed,
AnnCoulter,SandraWinchest5,glad,
jenniferquatres,_Gaaaaelle_,,
Forever_Boredd,tacoff98,glad,
TrouttAaron,D6bound_corbin,glad,Mickey_28_
Migogos,__sheBeautifull,patience,
cece_kaiser,clv0919,excited,
DJJS_Jac,realsnuggs,,realsnuggs