Leigha_Curry7,EricaVHoskins1,joy,,1
jamesmaslow,islas_palos,glad,NektariaLp,3
5HWorldNews,mailyziitapp,excited,,6
RamRiceDuran814,offthewall_alex,blessed,,4
KaiselinHo,timmygano,laughter,,2
TBooker23_,lxve_lxve,blessed,,4
_benjvmins_,maya_quinonez,kindness,,7
YOANDRl,BROOPITA_GIRL,excited,,6
brendaalind,GarciaLinnn,excited,,6
Paula_White,vickky1319,grace,,8
StephenKing,joshljorgensen,understanding,,10
cpulisic_10,Kyle_Debelak,blessed,,4
5HWorldNews,teenwolf_fanns1,excited,,6
mize_maria,BHoush1514,joy,,1
WeLuvAllyB,OT5Harmonizando,glad,AllyBrooke,3
Gladis_6,LizethGalindo_,blessed,,4
pokemongogaming,CamiiVial,excited,,6
babitatyagi0,sukhjeetd987,joy,InsaSonam,1
ChartsSG,LordeRainha99,kindness,,7
zrok_,ELLIExROSEWATER,glad,,3
cpulisic_10,BranG1992,blessed,,4
5HWorldNews,teenwolf_fanns1,excited,,6
redjuhye0n,kmwwnn,joy,,1
mbennett_23,FunkyBennett,excited,,6
TheophilosWales,svasulanka,joy,,1
isaolsusa,yunglibyan,grace,,8
ZachyyyJ,jacobjoyce95,excited,,6
Prettylialia,Rubey_Red,joy,,1
theCandidDiva,seetainsan4,grace,priyankainsa4,8
babitatyagi0,Rubyinsan4,joy,InsaSonam,1
Amitinsan20,sparsh77,blessed,,4
insincere,psych0delrey,laughter,,2
cpulisic_10,Maayynor4,blessed,,4
babitatyagi0,sukhjeetd987,joy,ksushma140,1
OmerRehman,effa_fyfa,kindness,,7
ReaIJustinBands,tankgothejuice_,blessed,,4
alexmalloyy,kyaraa_michelle,joy,,1
McCullenJessica,keenaroselee,blessed,,4
OceanDiversIDC,ExitH2O,excited,,6
idillionaire,mmizahh,blessed,,4
Latinos4Bernie,Gunns0fCydonia,glad,,3
macthekillerr,HeyChi_,excited,,6
_Almaayy,brianaa905,patience,,11
TheRealArkadian,crazyhardin,excited,,6
beltoftruth1,WellsElvis,sweetness,,9
M0tivateAthIete,sheppkal,blessed,,4
gracereevuhs,Kiley_Cakes,excited,,6
AaronCarpenter,glittermeehayes,excited,,6
BobOngQuotes,babecxzs,blessed,,4
cxstaway,livingxexisting,glad,livingxexisting,3
lifeaseva,ohh_torie,blessed,,4
AaronCarpenter,MagconDolan_Fan,excited,,6
meagannnkaayy,_kayleeeeee,glad,_kayleeeeee,3
__Bailey33,maldonado_sussy,glad,,3
AlasdaireYoung,OnGoldenSand,grace,,8
richmichjen,WriterArchive,excited,,6
cpulisic_10,IvanZigarevich,blessed,,4
MaddieDisney,tayylorrjunee,blessed,,4
BC_SPCA,Biskythecat,glad,,3
ogsaiyangeezer,bigceedxoh,patience,bigceedxoh,11
MLOwen_,Mere_Robinson13,joy,,1
NyuusatsuHana_,AlbarnDWMA,excited,,6
FlatlandCavalry,kes_andrews14,excited,,6
savioangelosdb,chineemeenie,joy,,1
PeterVoogd23,DcethansbitchGc,excited,,6
DuncanWhitehead,eHleenbdVaate,excited,,6
SPIDERW0MANS,blonhd,excited,SPIDERW0MANS,6
ksushma140,VBInsan1,blessed,Gurmeetramrahim,4
my_uniform,ayurizkyco,blessed,,4
OmanReagan,fallfaster,excited,OmanReagan,6
BobOngQuotes,justgraceeee,blessed,,4
cpulisic_10,dpmbeliever,blessed,,4
kateduganx,sadlilgemini,excited,,6
AverageGoal,Olga_Salazar_09,blessed,,4
BigSean,tinigashi16,blessed,,4
OmerRehman,iamrizkhan8970,kindness,,7
tumutuIa,tifflikeswings,glad,,3
tedcruz,rossb1us,blessed,,4
jineatskookie14,MIND_2001,excited,,6
enixtm,SyncDilz,excited,,6
ArmorOGod,caymaniangirl11,blessed,,4
spainzoe11,ashnicolefuller,excited,,6
cpulisic_10,JoelFajardo10,blessed,,4
TrevorMoran,postmacourtney,excited,,6
SrBachchan,5b30fd8a4b0444a,joy,,1
AaronCarpenter,Ratih_caturrini,excited,,6
PositiveMinds__,hippy4real,blessed,,4
MerylMmciscoil,KimZelinski,blessed,,4
aldubglobalnyc,aeron_aeAeron,blessed,,4
incorrectIy,meganm08,laughter,,2
clarissabrockk,alexis_handler,excited,,6
maryyy_x33,alyssajeannx3,joy,,1
_ThatNiggaTibaa,7_slickrick,blessed,,4
JessMarieGarcia,soon2bemrsefp,blessed,,4
cpulisic_10,EvelynUluan,blessed,,4
theleaguelady,Becca7SOS,excited,,6
AaronCarpenter,talii_marin,excited,,6
redjuhye0n,gcseulgi,joy,,1
ltsTyga,AndrewTheCutch,blessed,,4
AaronCarpenter,valentinahidalg,excited,,6
Slimthug1323,rigo_villarreal,blessed,,4
lexasreyes,ecstaticalycia,blessed,,4
rheint3,hannaheguillen,blessed,,4
lyssawinn,TSpringsteed,excited,,6
DrAnwarFazal,NoorfaNadya,blessed,,4
liwayway21,YEscarda,blessed,liwayway21,4
thesecret,aerovinanti,joy,,1
rachelsaniston,swxnparrilla,joy,,1
King_Fxlt,BAD__MamaJama,excited,,6
andrewlowe,JoeyAddiction,excited,,6
GrengaMa,LA_mac9,understanding,,10
TheRealKirstyG,thebiebsft1D,excited,,6
NiecyNash,1newride,joy,,1
SrBachchan,Abhishrivastav9,joy,,1
DrAnwarFazal,amiraraudah,blessed,,4
VenusHerald,andreadulce678,kindness,,7
WendyDiary_,pp_mean45,joy,,1
ArmorOGod,jonathon_hurst,blessed,,4
Jany_1DZM,styleswrongs,blessed,,4
aldubglobalnyc,geraldinebaric2,blessed,,4
OneKej,chrisss_CEE,patience,,11
lecrae,SoAmariee,kindness,,7
TimBurt,MunoMatt,kindness,,7
lecrae,SoAmariee,kindness,,7
AaronCarpenter,NeaSlay,excited,,6
donghyuksgirl,kibumuffin,blessed,,4
angelaksgiles,DavidMendiolaP,kindness,,7
FFXVEN,Bobbyman0330,patience,,11
lecrae,jmegan365,kindness,,7
macthekillerr,_Monicax_,excited,,6
lecrae,caleb3232,kindness,,7
aldubglobalnyc,itsmeaileent,blessed,,4
Harry_Styles,navaehsamone,glad,,3
hxnlxne,asianxprincess,excited,,6
AaronCarpenter,HoranCazarez,excited,,6
Gurmeetramrahim,Amitinsan4,joy,,1
bigshitxtalker,Donqua_,excited,,6
grantgust,adeusbilauta,excited,,6
grantgust,adeusbilauta,excited,,6
ksushma140,pawanwatts21,blessed,,4
beequammie,DREWDIAMOND32,joy,beequammie,1
WeLuvAllyB,edgarkarla,glad,AllyBrooke,3
lopezzclarissa,YoussefAlsaad9,excited,,6
DuncanWhitehead,bdcbrandan,excited,,6
Drake,edeenn6,understanding,,10
k_driggs,_maddiesquires,blessed,,4
